id_empresa,nome_empresa,data_fechamento,id_conta,codigo_conta,descricao_conta,valor
20738,Montecitrus,2021-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-395201000
7323,Sonda Supermercados,2020-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,31009000
24584,Copagri,2023-12-31,286,2.03,Patrimônio líquido,43112000
2788,Slaviero Veículos,2020-12-31,335,3.06,Despesas/Receitas operacionais,-14559510
24692,Eletrozema,2021-12-31,55,1,Ativo total,797033000
6435,Via,2020-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-19435000000
2575,RaiaDrogasil,2021-12-31,55,1,Ativo total,14775506000
21117,Belagrícola,2020-12-31,286,2.03,Patrimônio líquido,800985000
8214,Abbott Diagnósticos Rápidos,2022-12-31,56,1.01,Ativo circulante,218506000
4999,Bonsucesso Participações e Empreendimentos,2021-12-31,462,6.02,Caixa líquido das atividades de investimento,-234333000
16323,Magnamed,2020-12-31,55,1,Ativo total,83665985
8456,ProShows,2021-12-31,462,6.02,Caixa líquido das atividades de investimento,-375000
1735,Eurovia Automóveis e Utilitários,2023-12-31,375,3.18,Lucro/Prejuízo do período,16817000
2011,Irmãos de Marco Comércio de Veículos e Peças,2023-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,6073548
23668,Pet 2 Pet,2023-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,14569000
19161,RBX Rio Comércio de Roupas,2020-12-31,332,3.03,Receita líquida de vendas e/ou serviços,1243767000
19310,Solfarma Comércio de Produtos Farmacêuticos,2023-12-31,332,3.03,Receita líquida de vendas e/ou serviços,1681992000
8456,ProShows,2020-12-31,230,2.02,Passivo não circulante,7971000
